variable,block,construct,universally_asked,meaning_of_98,dk_opportunity_type,include,reason
NFCSID,administrative,respondent ID,n/a,no 98 code,none,EXCLUDE,"ID, weight, or demographic; not a survey response with a DK option"
WGT1,administrative,survey weight,n/a,no 98 code,none,EXCLUDE,"ID, weight, or demographic; not a survey response with a DK option"
S_Gender2,administrative,sex,n/a,no 98 code,none,EXCLUDE,"ID, weight, or demographic; not a survey response with a DK option"
S_Age,administrative,age band,n/a,no 98 code,none,EXCLUDE,"ID, weight, or demographic; not a survey response with a DK option"
S_Ethnicity,administrative,ethnicity,n/a,no 98 code,none,EXCLUDE,"ID, weight, or demographic; not a survey response with a DK option"
S_Education,administrative,education,n/a,no 98 code,none,EXCLUDE,"ID, weight, or demographic; not a survey response with a DK option"
S_Income,administrative,household income,n/a,no 98 code,none,EXCLUDE,"ID, weight, or demographic; not a survey response with a DK option"
A1,A: screening,investment decision role,No — DK terminated the interview,Don't know,n/a,EXCLUDE,"Eligibility screener: A1 in (3,98,99) terminated. Respondents who chose DK are absent by design."
A2,A: screening,owns retirement accounts,Yes,Don't know,factual/account knowledge,INCLUDE,Asked of all continuing respondents; DK = uncertainty about own retirement holdings.
A3,A: screening,owns non-retirement securities,No — DK terminated the interview,Don't know,n/a,EXCLUDE,"Eligibility screener: A3 in (2,98,99) terminated. Constant (=Yes) in the file; no DK variance possible."
B2_1,B2 grid (11 rows),currently owns individual stocks,Yes,Don't know,factual/account knowledge,INCLUDE,Universally administered grid row; DK = uncertainty about own holdings. GRID — see battery weighting.
B2_2,B2 grid (11 rows),currently owns individual bonds,Yes,Don't know,factual/account knowledge,INCLUDE,Universally administered grid row; DK = uncertainty about own holdings. GRID — see battery weighting.
B2_3,B2 grid (11 rows),currently owns mutual funds,Yes,Don't know,factual/account knowledge,INCLUDE,Universally administered grid row; DK = uncertainty about own holdings. GRID — see battery weighting.
B2_4,B2 grid (11 rows),currently owns ETFs,Yes,Don't know,factual/account knowledge,INCLUDE,Universally administered grid row; DK = uncertainty about own holdings. GRID — see battery weighting.
B2_5,B2 grid (11 rows),currently owns annuities,Yes,Don't know,factual/account knowledge,INCLUDE,Universally administered grid row; DK = uncertainty about own holdings. GRID — see battery weighting.
B2_7,B2 grid (11 rows),currently owns commodities/futures,Yes,Don't know,factual/account knowledge,INCLUDE,Universally administered grid row; DK = uncertainty about own holdings. GRID — see battery weighting.
B2_20,B2 grid (11 rows),currently owns whole life insurance,Yes,Don't know,factual/account knowledge,INCLUDE,Universally administered grid row; DK = uncertainty about own holdings. GRID — see battery weighting.
