Model,Repeat,Fold,Log loss,Brier,Macro AUC,Accuracy
A Demographics,1,1,0.9856945092979604,0.5891027411819884,0.6271321445623692,0.5230621919700031
B Demographics + Correct,1,1,0.9812743007569918,0.5866101568778864,0.6371775026217711,0.525275671827148
C Demographics + DK,1,1,0.97005038114112,0.5788560533185914,0.6460104195860703,0.5298009126138427
D Demographics + Incorrect,1,1,0.9514562482854055,0.5657000194021846,0.6723293651269362,0.5429571646581469
E Full composition (Correct + DK),1,1,0.9485847051714782,0.5640873519026921,0.6754467124914125,0.5353645760889257
A Demographics,1,2,0.9893668380256636,0.5882216272167274,0.6137360096566313,0.5548329130369577
B Demographics + Correct,1,2,0.9864826929174882,0.5860382210594599,0.6231672735066306,0.5559340499932007
C Demographics + DK,1,2,0.9879229151537323,0.5884987797151752,0.6186821572935833,0.535725464540165
D Demographics + Incorrect,1,2,0.9744434370495575,0.5815386027116025,0.6304139666970744,0.5386234752933687
E Full composition (Correct + DK),1,2,0.9752698415938835,0.5818573613736442,0.6348804901242974,0.5387787714150298
A Demographics,1,3,1.0190912327062707,0.610238474421665,0.6003029288945354,0.5309532315940717
B Demographics + Correct,1,3,1.0205291574082678,0.6095981859813,0.5985015135454299,0.5287533771077287
C Demographics + DK,1,3,1.0093047073285712,0.6039311673833642,0.6151669152631126,0.5302707775871011
D Demographics + Incorrect,1,3,0.9961608448851211,0.5948304355547037,0.6315497795140563,0.5510330167728202
E Full composition (Correct + DK),1,3,0.9967877375027271,0.5948798295979472,0.6302745930432542,0.5524387084727111
A Demographics,1,4,0.9915247142064882,0.5913029807782775,0.617437642439104,0.5181620079841135
B Demographics + Correct,1,4,0.9917206640811367,0.5917139606535657,0.6193438560531115,0.5169870654869847
C Demographics + DK,1,4,0.9819829475632883,0.5852833134522456,0.6293774788765004,0.5239864720366476
D Demographics + Incorrect,1,4,0.9835669091946316,0.58571036170929,0.6210869494090572,0.5424255065291999
E Full composition (Correct + DK),1,4,0.9796898334327327,0.5834832890317689,0.6284184293207823,0.5389827378167373
A Demographics,1,5,0.9495693969101333,0.5646983484011674,0.6491077304826193,0.5713943718566488
B Demographics + Correct,1,5,0.9481671453472681,0.5644287950151752,0.6497478718085742,0.5630888028842072
C Demographics + DK,1,5,0.9510036515970575,0.5665155966983317,0.6474762639008044,0.5695548329035348
D Demographics + Incorrect,1,5,0.9640038741342334,0.5754303266229438,0.6321348995104903,0.5551070876649474
E Full composition (Correct + DK),1,5,0.9606043684235931,0.5737900251266809,0.6391031996600419,0.5581443912209499
A Demographics,2,1,1.0644661793926509,0.6392365225113255,0.5534495476808642,0.474409546614216
B Demographics + Correct,2,1,1.0608618423340677,0.6371892370757344,0.5635998774777383,0.47603881061095227
C Demographics + DK,2,1,1.0471816336135467,0.6288722046879128,0.5724586261963122,0.4924867853397051
D Demographics + Incorrect,2,1,1.035503289048112,0.6213901836020355,0.5893224270884203,0.4935988504644275
E Full composition (Correct + DK),2,1,1.0303409970603234,0.618664544534833,0.5950751435460914,0.49737457732991414
A Demographics,2,2,1.0002511969596217,0.599687635397093,0.611331778888736,0.5372363972138763
B Demographics + Correct,2,2,0.9938818343563286,0.5960610874382533,0.6313624151418801,0.5372363972138763
C Demographics + DK,2,2,0.9877324575330442,0.5920587311666443,0.6174820082115037,0.5355209718919829
D Demographics + Incorrect,2,2,0.9698282983882525,0.579778850477095,0.6479716152611622,0.5332077201744134
E Full composition (Correct + DK),2,2,0.9663523542657408,0.5778838380141187,0.6521530050105236,0.535334606333427
A Demographics,2,3,0.9573840733272696,0.5708395089558543,0.6444941748823038,0.5426930159221306
B Demographics + Correct,2,3,0.9670473484289577,0.5758870205568817,0.6253090335342383,0.5448665536495767
C Demographics + DK,2,3,0.9522155973588852,0.5665904323966071,0.6493286374839581,0.5447147523041529
D Demographics + Incorrect,2,3,0.9439198491114336,0.5619040196362983,0.6613941246842755,0.564048889833031
E Full composition (Correct + DK),2,3,0.9501397423097254,0.5651561209417537,0.6468241672494478,0.5628862202965963
A Demographics,2,4,0.9759823243432778,0.5797189727818767,0.629547315014151,0.5619343190971665
B Demographics + Correct,2,4,0.9764963269612597,0.579560369594183,0.6349347717916329,0.5653513486684143
C Demographics + DK,2,4,0.9772263191401842,0.581463583883202,0.6320915548243832,0.5393132203935795
D Demographics + Incorrect,2,4,0.9745407480302588,0.5816942140151585,0.6319030122281055,0.556460043263749
